date	Average BatchSize	Maximum BatchSize
2009-01-01	47.06	23132
2009-02-01	67.34	48014
2009-03-01	93.42	27430
2009-04-01	46.90	60423
2009-05-01	62.09	52040
2009-06-01	60.14	32927
2009-07-01	64.02	24624
2009-08-01	82.08	62931
2009-09-01	57.96	56098
2009-10-01	62.46	101908
2009-11-01	93.69	57839
2009-12-01	323.59	203582
2010-01-01	117.53	51648
2010-02-01	179.64	186256
2010-03-01	47.54	111383
2010-04-01	89.08	168209
2010-05-01	71.84	69532
2010-06-01	63.75	74827
2010-07-01	42.31	41516
2010-08-01	65.87	48904
2010-09-01	58.27	81461
2010-10-01	97.55	61679
2010-11-01	48.06	48493
2010-12-01	43.22	46141
2011-01-01	27.53	28921
2011-02-01	31.83	39953
2011-03-01	56.34	145030
2011-04-01	37.92	97629
2011-05-01	57.82	98859
2011-06-01	60.78	33911
2011-07-01	81.05	108501
2011-08-01	63.54	97376
2011-09-01	62.97	66264
2011-10-01	65.02	53173
2011-11-01	75.24	66747
2011-12-01	83.29	45219
2012-01-01	49.05	58771
2012-02-01	47.83	80712
2012-03-01	45.28	51428
2012-04-01	39.48	41298
2012-05-01	39.02	53259
2012-06-01	42.12	44666
2012-07-01	47.99	138486
2012-08-01	33.82	96982
2012-09-01	23.59	113519
2012-10-01	20.92	97592
2012-11-01	45.78	78641
2012-12-01	34.41	40104
2013-01-01	46.86	142738
2013-02-01	39.44	49227
2013-03-01	39.20	84892
2013-04-01	34.59	22321
2013-05-01	30.10	82998
2013-06-01	26.66	77990
2013-07-01	50.84	74890
2013-08-01	48.56	88725
2013-09-01	51.97	195771
2013-10-01	51.80	145264
2013-11-01	50.15	140762
2013-12-01	55.97	93628
2014-01-01	42.45	60983
2014-02-01	41.72	29946
2014-03-01	72.22	123101
2014-04-01	61.49	345141
2014-05-01	48.21	114653
2014-06-01	50.26	100729
2014-07-01	49.62	88667
2014-08-01	51.92	257854
2014-09-01	60.95	286028
