pay	comm	fast	fair	reviews	tos_flags	followers
5	5	5	5	0.02	0	1
1	1	1	1	0.05	0.21	1
4.86	0	5	5	0.08	0	1
1.5	1	3	3	0.02	0	1
2.11	5	3.67	2.6	0.08	0	1
4.58	4.92	4.9	5	0.12	0	1
3	0	0	0	0.01	0	1
3.14	5	2.86	4.5	0.08	0	1
3.21	2	3.13	3.32	0.23	0	1
5	0	5	5	0.01	0	1
3.8	5	4.87	4.86	0.2	0	1
3.21	4.14	4.71	4.94	0.19	0	1
3.24	5	4.42	4.64	0.24	0	1
1.71	1	1.43	2.71	0.08	0.21	1
3.45	3.67	5	4.43	0.11	0	1
2.16	3	3.58	3.77	0.21	0.63	1
4.22	5	5	5	0.53	0	1
3.26	3	3.44	3.79	0.41	0	1
2.42	1.4	2.5	2.58	0.23	0	1
2.71	1	2.71	2.71	0.08	0.21	1
2.5	0	5	5	0.02	0	1
4	0	4.67	5	0.04	0	1
3.71	4.43	4.94	5	0.24	0	1
3.9	4	4.81	4.71	0.31	0	1
3.11	4	4.76	4.68	0.36	0	1
3.5	3.67	4.25	3	0.04	0	1
3.43	1	3.67	4.2	0.08	0	1
2.88	3.67	4.43	3.9	0.18	0	1
1.75	1.75	2	3.13	0.13	0	1
4.08	4.57	4.87	4.93	0.85	0	1
4.09	4.33	4.44	4.38	0.46	0	1
3.56	4.68	4.7	4.96	0.63	0	1
3.4	2.25	3.2	3.2	0.05	0	1
3.45	2.29	3.83	3.83	0.29	0	1
4.8	0	5	5	0.05	0	1
3.6	3.25	4.42	4.58	0.29	0	1
3.76	4.43	4.56	4.88	0.25	0	1
5	5	5	5	0.02	0	1
4.8	3	5	5	0.1	0	1
3.38	3.5	4.19	4.06	0.16	0	1
4.55	5	4.91	5	0.1	0	1
4.2	5	4.71	4.71	0.14	0	1
4.86	5	5	5	0.13	0	1
3.25	4.67	4.71	4.53	0.23	0.21	1
3.75	3.67	4.43	4.5	0.11	0	1
3.59	2.4	4.41	3.86	0.22	0.21	1
4.52	5	4.95	5	0.2	0	1
3.67	3	3.67	3.67	0.04	0.21	1
4.2	0	4.4	5	0.05	0	1
4.56	4.14	4.53	4.62	0.42	0	1
4.05	5	4.73	4.54	0.56	0	1
5	0	5	5	0.02	0	1
2.43	1.22	2.57	2.87	0.42	0	1
3.8	0	5	5	0.05	0	1
3.33	2.82	3.22	3.32	0.28	0	1
4	4.86	4.5	4.13	0.08	0.21	1
4.33	3.67	3.33	4.56	0.09	0	1
5	1	5	5	0.05	0	1
3.35	2	2.19	3.72	0.32	0.83	1
3.5	4.5	5	3.67	0.07	0	1
3.91	3.22	4.25	4.54	0.35	0.21	1
2.33	2.33	1	2.33	0.03	0	1
4.45	4.66	4.84	4.88	1.68	0.42	1
3.96	4.29	5	4.8	0.25	0.63	1
4.68	4.33	4.58	4.79	0.19	0	1
3.34	4.36	4.9	4.86	0.63	0	1
4.46	4.11	4.65	4.76	0.39	0.63	1
1.52	2.72	3.81	3.97	0.48	0	1
3.45	3.67	4.15	4	0.49	0.21	1
4.11	1.33	4.58	4.62	0.18	0	1
4.26	3.78	4.21	4.43	0.42	0	1
3.56	3.67	3.63	4	0.2	2.92	1
3.57	3.74	4.1	4.51	0.73	0	1
1	0	0	0	0.05	0	1
2.45	2.14	2.06	2.19	0.31	0	1
3.49	2.43	3.15	3.78	0.75	0.63	1
4.09	3	4.6	4.6	0.11	0	1
2.83	2	3.4	3.25	0.24	1.88	1
3.67	0	5	5	0.04	0	1
4	0	5	5	0.01	0	1
4.5	5	5	5	0.02	0	1
4.93	5	5	5	0.14	0	1
4.96	4.81	4.99	4.94	0.81	0	1
5	5	5	5	0.08	0	1
4.44	2.42	3.05	4.39	0.42	0	1
3.4	5	3.7	4.67	0.09	0	1
3.23	4.16	4.6	4.68	0.51	0.21	1
4.22	4.13	3.96	4.32	0.25	0	1
3.48	2.62	4.14	3.24	0.66	0.21	1
2.56	0	4.75	5	0.1	0	1
3.56	3.38	4.17	4.59	0.53	0	1
4.43	4.71	4.77	4.88	0.42	0	1
3.33	2.59	3.67	2.73	0.23	0	1
2.91	3.67	4.56	4.68	0.45	0	1
4.65	5	4.91	4.95	0.23	0	1
3.7	4.25	4	4.33	0.09	0	1
4.2	2.33	4.1	4.2	0.09	0	1
4.57	4.33	4.89	4.89	0.42	0	1
4.91	4.86	4.73	5	0.1	0	1
5	0	5	5	0.04	0	1
4.38	3.87	4.35	4.47	0.5	0	1
4.4	0	5	5	0.05	0	1
2.91	3	4.31	4.08	0.24	0	1
1.44	2.33	3	3	0.08	0	1
3.7	3	4.3	3.64	0.11	0	1
2.25	0	3	5	0.05	0	1
3.81	3	4.93	5	0.15	0	1
4	4.88	5	5	0.13	0	1
4.15	5	4.9	5	0.12	0	1
4	0	5	5	0.08	0	1
3.17	2.73	2.39	3.56	0.2	0	1
4.5	1.5	5	4.6	0.06	0	1
4.75	5	5	5	0.08	0	1
4.91	5	5	5	0.1	0	1
2.6	2.33	3	3	0.06	0	1
2.18	1.67	3.8	2.6	0.15	0	1
4.71	0	5	5	0.08	0	1
3.44	3	3.57	3.77	0.16	0.42	1
3.55	2.43	3	3.36	0.53	1.88	1
3.19	2.8	4.44	4.06	0.15	0	1
1.27	3	3	3	0.11	0	1
3.38	2.89	3.7	3.43	0.2	0.21	1
4.69	5	5	5	0.12	0	1
3.86	0	5	5	0.07	0	1
3.79	4.18	4.43	4.37	0.47	0.21	1
4.31	4.55	4.78	4.69	0.47	0	1
2	1	3	2.14	0.1	0	1
2.6	1	2.6	2.6	0.05	0	1
1	1	1	1	0.01	0	1
3.38	2.04	3.26	3.33	0.46	0	1
2.08	2.33	3.15	3.23	0.38	0	1
4.49	4.86	4.92	4.91	0.93	0	1
2.75	1.5	2.5	3.67	0.11	0	1
4.37	3	4.5	4.1	0.24	0	1
4.95	4.86	4.95	4.9	0.41	0	1
2.14	1	5	5	0.07	0	1
4.5	5	4.86	5	0.08	0	1
5	4.5	3.83	4.8	0.06	0	1
4.84	4.56	4.93	4.94	0.53	0	1
3.13	1.8	3.55	3.43	0.29	0.21	1
4.76	4.73	4.76	4.76	0.16	0	1
3.75	1	4	4	0.04	0	1
3.08	2.14	4.18	4.13	0.32	0	1
3.6	0	5	5	0.05	0	1
2.88	1.5	4.13	3.75	0.08	0	1
4.95	4.2	5	4.78	0.2	0.42	1
4.12	4.78	4.89	4.95	0.43	0	1
4.76	5	5	4.83	0.25	0	1
4	4	4.25	4.11	0.09	0	1
4.69	4.73	4.74	4.81	1.53	0	1
3.96	3.67	4.65	4.32	0.25	0	1
3.05	3.67	4.5	4.23	0.26	1.25	1
4.1	0	4.83	5	0.1	0	1
2	0	2	5	0.05	0.21	1
4.72	4.52	4.53	4.93	0.58	0	1
3.96	3.22	4.38	4.04	0.34	0	1
3.35	5	4.65	4.33	0.29	0	1
2.5	5	4.64	4.64	0.19	0	1
5	5	5	5	0.01	0	1
4.65	4.22	4.76	4.7	1.4	0.21	1
4.7	5	4.85	4.68	0.28	0	1
2.32	3.67	4.23	4.43	0.28	0	1
3.46	3.6	4.38	4.33	0.42	0	1
2.72	1.93	2.81	2.7	1.76	1.25	1
4.49	4.52	4.69	4.72	0.52	0	1
4.33	2.33	4.25	4.08	0.15	0	1
3.5	4.2	3.8	3.91	0.17	0	1
2.95	2.33	4.07	4.14	0.23	0	1
4.75	0	5	5	0.04	0	1
3	0	5	5	0.01	0	1
4.73	5	5	5	0.1	0	1
3.76	3	4.73	4.5	0.16	0	1
2.9	3.83	4.32	4.68	0.3	0	1
1.56	1.07	1.51	1.5	1.24	0.42	1
4.68	4.14	4.74	4.74	0.19	0	1
1.67	0	5	5	0.04	0	1
3.82	5	4	4.2	0.1	0	1
5	0	5	5	0.03	0	1
3.22	0	5	5	0.08	0	1
3.05	2.14	3.48	4	0.39	0	1
2.8	4	4.67	4.33	0.05	0	1
4	4	4.4	4.14	0.22	0	1
4.23	4.23	4.69	4.64	0.65	0	1
4.14	5	5	5	0.23	0	1
5	5	5	5	0.01	0	1
2.56	3.67	2	3.33	0.1	0	1
4.5	4	4.5	4.6	0.09	0	1
3.37	3.2	4	4	0.18	0	1
4.15	5	5	4.67	0.12	0	1
3	3	3.5	5	0.02	0	1
3.11	4.4	4.16	4.25	0.53	0.21	1
4.17	4	4.3	4.61	0.22	0	1
2.88	1.8	3.38	3.13	0.08	0	1
4.62	4.8	4.94	4.89	1.88	0	1
4.14	4.75	4.9	5	0.21	0	1
3.75	1	4.27	4.27	0.11	0	1
4.83	5	5	5	0.12	0	1
4.59	4.56	4.71	4.56	0.18	0	1
3.48	4.27	4.33	4.48	0.33	0	1
4.05	3.8	4.33	4.44	0.19	0	1
4.05	4.35	4.89	5	0.18	0	1
3	2.25	3.2	2.83	0.06	0	1
3.62	1.8	4.23	3.69	0.12	0	1
3.25	3.67	4.67	4.67	0.21	0	1
3.68	3.5	4.44	4.56	0.21	0	1
3.2	4.2	4.69	4.43	0.15	0	1
4.93	5	5	4.73	0.14	0	1
2.46	2.25	2.64	2	0.12	0.21	1
4.64	5	4.93	5	0.3	0	1
3.43	5	5	4.2	0.07	0	1
4.09	5	5	5	0.23	0	1
4.36	3	4.27	4.27	0.11	0	1
3.69	3.29	4.3	4.23	0.81	0	1
4.56	5	5	5	0.09	0	1
4	3	4.57	5	0.09	0	1
2.33	0	5	5	0.03	0	1
3.38	4	4.73	4.73	0.23	0	1
4.79	4.79	4.73	5	0.43	0	1
3.22	3	5	5	0.08	0	1
4.8	4.81	4.82	4.82	1.33	0.63	1
3.5	5	4.5	4.69	0.2	0	1
3	4	4.25	4	0.05	0	1
4.67	5	3.5	5	0.06	0	1
4.29	5	5	5	0.08	0	1
4.53	3.67	4.86	4.86	0.29	0	1
3.31	3	4.21	3.8	0.28	0.63	1
4	5	5	5	0.09	0	1
4.5	3.43	4	4	0.12	0	1
3.8	5	4.88	5	0.09	0.21	1
2.94	2	3.85	3.44	0.19	0.21	1
4.67	4.44	4.74	4.85	0.3	0.21	1
3.2	3.67	4.74	4.58	0.31	0.21	1
4.58	4.6	4.85	4.78	0.32	0	1
3.16	2.05	3.62	3.27	0.45	0.42	1
2.78	1	3.29	3.29	0.08	0	1
2.67	5	4.43	4.43	0.08	0	1
3.73	3.54	3.43	4.38	0.32	0	1
3.75	3.75	3.88	4.5	0.08	0	1
4.29	4.2	4.7	4.7	0.27	0.42	1
2.52	3.4	3.86	4.21	0.29	0.63	1
4.53	4.2	4.36	4.64	0.14	0	1
3.58	2.43	3.5	3.17	0.11	0	1
4.33	3	4.33	4.33	0.11	0	1
4.43	4.56	4.83	4.83	0.23	0	1
5	5	5	5	0.08	0	1
3.75	4.5	4.4	5	0.05	0	1
4.6	5	4.8	4.75	0.06	0	1
4.6	3.67	5	4.71	0.14	0	1
3.43	3.25	3.59	3.97	0.34	0.42	1
4.36	4.62	4.57	4.74	0.53	0.21	1
2.53	3.8	4.91	5	0.16	0	1
4.77	5	5	5	0.14	0	1
4.69	5	5	4.69	0.13	0	1
2.48	2.44	3.73	3.2	0.21	0	1
4.56	3.53	4.44	4.44	0.49	0	1
4.63	4.13	3.91	4.58	0.36	0.21	1
3	3.29	3.79	3.38	0.38	0	1
2.79	1.5	3.73	4.1	0.14	0	1
4.09	2.86	4.26	3.97	0.32	0	1
5	5	5	5	0.16	0	1
3.05	3.67	4.23	4.33	0.22	0.83	1
3.07	3	3.58	3.33	0.13	0	1
1.67	0	1	5	0.05	0	1
3.78	5	5	5	0.08	0	1
3.19	2.67	3.88	3.65	0.26	0	1
4.15	4.44	4.35	4.64	0.56	0.42	1
4.92	5	5	4.97	0.38	0	1
4	5	5	5	0.01	0	1
3.32	4.4	4.79	4.93	0.59	0	1
3.69	4.64	4.08	4.25	0.17	0	1
1	0	0	0	0.01	0	1
2	0	3	3	0.01	0	1
3.13	4	4.43	4.43	0.08	0	1
4.72	2.82	4	4.72	0.27	0	1
5	0	4	5	0.02	0	1
5	0	5	5	0.03	0	1
4	0	5	4	0.02	0	1
4.47	3.43	4.35	3.91	0.21	0	1
2	1	3	3	0.04	0	1
0	1	0	0	0.01	0	1
4	4.2	4.25	4.67	0.15	0	1
5	0	5	5	0.01	0	1
1	0	0	0	0.01	0	1
2.67	5	4.67	3.75	0.07	0	1
3.5	5	5	5	0.04	0	1
1.33	5	3	3	0.03	0	1
5	0	5	5	0.01	0	1
2.88	3.75	4.2	3.83	0.08	0	1
4	5	4.75	5	0.05	0	1
3.47	3	3.13	3.4	0.2	0	1
1.5	1	1.5	1	0.03	0	1
3.57	3.86	4.6	4.27	0.16	0.21	1
5	0	5	5	0.02	0	1
4.5	0	5	5	0.02	0	1
3	2.91	3.6	3.47	0.16	0	1
1	1	1	1	0.02	0	1
1	1	1	1	0.02	0	1
4.17	5	4.83	5	0.06	0	1
5	0	0	0	0.01	0	1
5	0	5	5	0.02	0	1
5	0	5	5	0.06	0	1
4	0	5	5	0.08	0	1
3.43	3.83	4.43	4.43	0.08	0	1
5	0	5	5	0.01	0	1
5	5	5	5	0.05	0.83	1
4	1	3	3.5	0.05	0	1
2.25	5	4.5	5	0.05	0	1
5	0	5	5	0.08	0	1
2	0	5	5	0.02	0	1
4.19	4	4.19	3.85	0.26	0	1
1.75	0	5	5	0.04	0	1
5	5	3.67	5	0.03	0	1
4.88	0	5	5	0.08	0	1
5	5	5	5	0.02	0	1
4	5	5	5	0.03	0	1
