year,batch_size,instances
2014,23992,1
2014,19710,1
2014,4022,1
2014,13731,1
2014,4449,1
2014,620,3
2014,1974,1
2014,5988,1
2014,5982,1
2014,5986,1
2014,344,5
2014,345,9
2014,346,5
2014,347,10
2014,340,8
2014,341,7
2014,342,7
2014,343,9
2014,3995,1
2014,348,4
2014,349,8
2014,3991,2
2014,3990,3
2014,16872,1
2014,6154,1
2014,10967,1
2014,4737,2
2014,4734,1
2014,2319,2
2014,2316,1
2014,2317,5
2014,2314,1
2014,2315,3
2014,2312,3
2014,2313,1
2014,2310,1
2014,2311,1
2014,5856,1
2014,298,16
2014,299,14
2014,296,15
2014,297,18
2014,294,11
2014,295,10
2014,292,5
2014,293,8
2014,290,7
2014,291,9
2014,3680,1
2014,2147,2
2014,16497,1
2014,16493,1
2014,4522,1
2014,270,18
2014,36203,1
2014,272,8
2014,273,4
2014,274,7
2014,275,12
2014,276,5
2014,13543,1
2014,278,12
2014,279,10
2014,52396,1
2014,738,4
2014,12018,2
2014,1780,3
2014,15483,1
2014,2268,1
2014,2269,2
2014,19572,1
2014,2262,2
2014,2263,1
2014,2260,1
2014,2267,1
2014,2264,1
2014,7886,1
2014,2442,4
2014,2443,1
2014,2441,1
2014,2446,1
2014,2444,2
2014,1004,6
2014,2448,2
2014,2189,1
2014,6055,1
2014,108,23
2014,109,31
2014,102,25
2014,103,41
2014,100,476
2014,101,43
2014,106,37
2014,107,24
2014,104,70
2014,105,27
2014,2046,1
2014,2047,1
2014,2144,1
2014,2042,1
2014,2043,1
2014,2040,1
2014,2041,1
2014,1212,3
2014,9419,1
2014,11261,1
2014,2143,1
2014,11944,1
2014,3154,1
2014,9328,1
2014,9320,1
2014,9634,1
2014,7517,1
2014,3519,1
2014,1333,1
2014,3511,1
2014,2733,1
2014,1210,1
2014,3515,1
2014,7262,1
2014,2689,1
2014,3212,2
2014,2685,1
2014,16233,1
2014,2687,1
2014,2682,1
2014,24716,1
2014,14378,1
2014,3391,2
2014,3999,1
2014,6806,1
2014,3441,1
2014,3998,1
2014,33215,1
2014,99,114
2014,98,78
2014,10561,1
2014,9747,1
2014,9740,1
2014,91,45
2014,90,50
2014,93,34
2014,92,34
2014,95,36
2014,94,40
2014,97,68
2014,96,56
2014,3207,1
2014,3206,1
2014,1621,3
2014,1620,1
2014,1995,3
2014,1994,1
2014,3201,1
2014,1624,2
2014,1999,4
2014,1998,6
2014,10099,1
2014,1628,4
2014,21439,1
2014,3992,1
2014,4974,1
2014,8837,1
2014,7518,1
2014,559,5
2014,558,4
2014,555,3
2014,554,1
2014,557,3
2014,556,4
2014,551,2
2014,550,3
2014,553,7
2014,552,3
2014,3015,2
2014,12946,1
2014,37177,1
2014,1198,1
2014,5450,1
2014,1190,5
2014,1193,5
2014,1192,3
2014,1195,4
2014,5455,2
2014,1197,4
2014,7073,1
2014,1759,1
2014,1758,2
2014,1757,5
2014,1755,2
2014,1754,3
2014,1751,1
2014,1750,1
2014,1177,1
2014,1176,2
2014,1215,3
2014,15911,1
2014,1172,2
2014,1171,4
2014,3439,1
2014,1179,2
2014,4256,1
2014,511,1
2014,4977,1
2014,1006,1
2014,1005,3
2014,1285,2
2014,1284,2
2014,1286,2
2014,1281,3
2014,17595,1
2014,1283,4
2014,1282,1
