requester_id	pay	comm	fast	fair	reviews	tos_flags
A269UQQCVIV0YH	1.75	1.33	3.29	1.71	8	0
A27IPX3ZIC70PV	1.33	2.5	1.86	1.56	11	0
A1G5S03EGW1ED6	3	3.67	4	3.4	5	0
AA4YFHM3C6NF5	2.33	2.33	2.33	2.33	3	0
AS9WIDF5DC7HQ	2.22	1.42	1.81	2.71	23	0
A256IQWDD1D6HC	4.7	5	5	5	10	0
AYM550DYSN9TY	2.33	2.29	3.71	2.81	113	0
A2O5JA0YA9WN0Q	4.6	5	5	5	5	0
A2POU581VIIKAH	5	5	5	5	12	0
A1U9LBNA2OXSYA	5	5	5	5	2	0
A1VVMP86F8GP7D	4.67	5	5	4.95	85	3
A27L6Z6PBCE04Y	4.83	4.65	4.89	4.69	61	0
A4E0RGGVMYP0	1	1	1	1	5	1
A15X15L8HB3PO6	4.86	0	5	5	8	0
A2HDPXF2D068ZW	1.5	1	3	3	2	0
A1TG28EO0HFWAR	4	3.86	4.11	4.11	11	0
A2GF5ZKFAAI8KB	2.11	5	3.67	2.6	9	0
A24US7SXY8ZQK9	4.58	4.92	4.9	5	13	0
A3PE2WFW7YARFR	4.8	5	5	5	10	0
A1WSFAX0WC3JFW	3.48	3.56	4.26	4	34	1
A1I9UTZPN7DH5M	3	0	0	0	1	0
A29ZVJHSPDL2T0	1	0	0	0	2	0
A25RTM8JJMU7PJ	4.54	4.46	4.6	4.54	152	1
A02314958UBYM0LJ9TYR	1.88	3.17	4.09	4.15	17	0
A00106683P6RKT4WZ6DYS	4.11	2.84	3.86	3.8	82	0
A00147046S7WXS8QXI4I	4.81	5	5	4.93	27	0
A00379145865W53DJFTN	5	5	4.75	5	7	0
A0041412KCQIB0UNCHI	2.86	5	4.2	4.33	10	0
A006153821C819I8MVQC9	3.14	5	2.86	4.5	9	0
A00830271IUQIZHZRKVVG	2.21	1	3.29	3.29	14	0
A0116879UW95FM8EHX3M	2.3	3	3.82	3.46	24	1
A0120036HPT4P4RQW56	1.44	1.44	1.44	1.44	15	6
A02083613H11QIJB1H2CW	4.43	4	4.76	4.79	46	0
A0260649T4ZXBNKDVPX1	3.82	5	4.88	5	13	1
A027613026605V6SMYIIY	4.67	5	5	5	3	0
A0312140TRK4T3VB1N25	4.67	5	5	5	27	0
A03257389PZSORY2QAKJ	3.21	2	3.13	3.32	24	0
A0340763DIORDOK7E0JT	3	5	5	5	2	0
A0369721S3FQJJIANMRM	4.2	1	4.43	4.43	10	0
A04327161RRXKKTVXCQEP	4.67	5	5	5	7	0
A0581286U6MKRBYFDHMJ	2.54	1.41	2.62	2.59	84	0
A0589310131IJVORERSA2	4	0	5	5	1	0
A05973031XX9FPTDLRU5H	2.69	5	4.88	4.63	13	0
A06878781WDMN65B7ZDBN	2.63	2.83	3.36	3.08	16	0
A07197022PSCZOU82QCYV	4.17	5	5	5	7	0
A093608229YLLO56ED5YF	5	0	5	5	1	0
A104EYNHEFKZMK	0	0	0	0	1	1
A105K9B95AZJ63	5	4.5	5	4.5	2	0
A105RUKLU4JLWS	4.38	4	4	3.56	10	2
A107IDLHY9VNA0	2.67	2.6	3.77	4	24	0
A109B95ETSUYMG	3.67	0	3	5	3	0
A10AJUQ3D47US6	1	1	1	1	2	2
A10AMVVXIHQJJ7	4.5	5	4.5	4.5	4	0
A10CFUHHFZHT09	2	1	1.75	1	4	0
A10EAZL4LN0Z2T	2	1.89	2.31	2.18	19	2
A10GV6HGYBZ1LV	4.57	3.67	4.64	4.71	15	0
A10K48P8WEWOYI	4	1	5	3	2	0
A10KTAX3O5GMVO	3.79	4.14	4.54	4.38	14	0
A10LQ5X6HAAY6V	5	5	4.2	4.6	5	0
A10M90Y8PUKQ1E	3.73	4.06	4.69	4.75	85	0
A10NN25UCEW8LR	2.5	0	5	5	2	0
A10OM0I1IXBPFE	5	0	5	5	1	0
A10P6XV752TJR4	3.8	5	4	5	6	0
A10Q48CFTWPQ0S	1	0	5	5	1	0
A10R8QHTLK48A5	3	5	5	5	2	0
A10U36Z9T1L3SB	0	0	0	0	1	1
A10XJWCD6KM6QR	3.67	4.16	4.04	4.52	37	0
A1197OGL0WOQ3G	3.18	2.22	3.35	3.2	116	2
A11AC2Q3TNEFY9	3.59	3	5	4.76	23	0
A11DLFEZR0BN7J	3	0	5	5	2	0
A11EAP35FNEVN7	3.8	5	4.87	4.86	21	0
A11EOHSSA437LC	4.13	5	4.94	4.65	20	0
A11EZIJOALW5LP	4	3.67	4.89	4.56	9	0
A11GCGAMCZ573K	4.13	5	5	5	8	0
A11HABGEZWI0OZ	3.21	4.14	4.71	4.94	20	0
A11J530JMR0EVG	2.44	2.18	2.69	2.75	16	0
A16HEMXQVULUQS	4.83	5	5	5	7	1
A1ARWZB2IY0GRI	3.52	3.5	4	3.89	26	5
A1ATES40ZPE477	3.24	5	4.42	4.64	25	0
A11L036EBWKONR	4.94	4.83	4.98	4.96	308	1
A11LRI5DZZOFOT	1.71	1	1.43	2.71	8	1
A11LW2DXAZ8KRC	1.31	1.69	1.23	1.47	19	0
A11MIULAC4QH5D	5	0	5	5	1	0
A11MNQ5DQ9ENLT	4	3.67	3.5	4	5	0
A11Q0CIHWJOM3W	2	1	3	2	6	0
A11QC9WIMLUUHY	1.67	2.33	2.33	2	4	1
A11QD5388AO3XU	5	0	5	5	3	0
A11R504TQT867E	4	1	4	4	4	0
A11T8FV5IJG5KU	4.4	5	5	5	15	0
A11TDVK56W8042	2.25	0	5	5	4	0
A11UVU1SNBXCLX	5	0	4.5	5	2	0
A11VTDZHFU3TTF	5	0	5	5	15	0
A11WRANFRA1SXT	4.9	0	5	5	10	0
A11WZJZMSRLMJD	3.45	3.67	5	4.43	12	0
A11Y691QL22CR6	4.72	4.86	4.83	4.83	39	0
A11YL2193E9N2J	3.45	3	3.83	3.89	21	2
A120X47LW81SOJ	4	0	0	0	3	1
A125X6VI43JVOC	4.33	0	5	4	4	0
A126YSV6T33C3T	2.16	3	3.58	3.77	22	3
A12700PH0LDDDA	4.5	5	5	5	2	0
A128R95WG1CQF2	4.67	5	5	5	9	0
A129X4DU7KEFJ	4.9	0	5	5	10	0
A12A3Q8ENCHBR6	2.79	2	2.62	2.83	14	1
A12B7B5XW6WC7L	2.4	1	1.5	3.4	9	0
A12HCC32052TI9	0	0	1	0	1	0
A12HNHPCQYBX9F	3.4	2.69	3.7	3.54	56	2
A12HTWPXSDKRUK	2.5	1.5	3.5	3.2	12	0
